locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOKDPPHH_01068	CDS	3234				hypothetical protein
AOKDPPHH_01069	CDS	651	ppnN_1	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
AOKDPPHH_01070	CDS	741	ppnN_2	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
AOKDPPHH_01071	CDS	552				hypothetical protein
AOKDPPHH_01072	CDS	468				hypothetical protein
AOKDPPHH_01073	CDS	717				hypothetical protein
AOKDPPHH_01074	CDS	456				hypothetical protein
AOKDPPHH_01075	CDS	432				hypothetical protein
AOKDPPHH_01076	CDS	747				hypothetical protein
AOKDPPHH_01077	CDS	780				hypothetical protein
AOKDPPHH_01078	CDS	1533	pilY1_1			Type IV pilus biogenesis factor PilY1
AOKDPPHH_01079	CDS	414				hypothetical protein
AOKDPPHH_01080	tRNA	77				tRNA-Asn(gtt)
AOKDPPHH_01081	CDS	531				hypothetical protein
AOKDPPHH_01082	CDS	2025	uvrB		COG0556	UvrABC system protein B
AOKDPPHH_01083	tRNA	75				tRNA-Val(gac)
AOKDPPHH_01084	tRNA	75				tRNA-Val(gac)
AOKDPPHH_01085	CDS	324				hypothetical protein
AOKDPPHH_01086	CDS	141				hypothetical protein
AOKDPPHH_01087	CDS	285				hypothetical protein
AOKDPPHH_01088	CDS	768	mipA		COG3713	MltA-interacting protein
AOKDPPHH_01089	CDS	246	tctD_1		COG0745	Transcriptional regulatory protein tctD
AOKDPPHH_01090	CDS	1344	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
AOKDPPHH_01091	CDS	681				hypothetical protein
AOKDPPHH_01092	CDS	1392	comEC		COG0658	ComE operon protein 3
AOKDPPHH_01093	CDS	669	tolQ_1			Tol-Pal system protein TolQ
AOKDPPHH_01094	CDS	423	exbD_1		COG0848	Biopolymer transport protein ExbD
AOKDPPHH_01095	CDS	1497				hypothetical protein
AOKDPPHH_01096	CDS	1020	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
AOKDPPHH_01097	CDS	774	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
AOKDPPHH_01098	CDS	489		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
AOKDPPHH_01099	CDS	1413				hypothetical protein
AOKDPPHH_01100	CDS	1845	uvrC		COG0322	UvrABC system protein C
AOKDPPHH_01101	CDS	630	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
AOKDPPHH_01102	tRNA	76				tRNA-Gly(gcc)
AOKDPPHH_01103	tRNA	76				tRNA-Gly(gcc)
AOKDPPHH_01104	CDS	3321				hypothetical protein
AOKDPPHH_01105	tRNA	76				tRNA-Gly(gcc)
AOKDPPHH_01106	tRNA	76				tRNA-Gly(gcc)
AOKDPPHH_01107	tRNA	74				tRNA-Cys(gca)
AOKDPPHH_01108	CDS	120				hypothetical protein
AOKDPPHH_01109	CDS	1080				hypothetical protein
AOKDPPHH_01110	CDS	690				hypothetical protein
AOKDPPHH_01111	CDS	492				hypothetical protein
AOKDPPHH_01112	CDS	240	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
AOKDPPHH_01113	CDS	366	crcB			Putative fluoride ion transporter CrcB
AOKDPPHH_01114	CDS	402				hypothetical protein
AOKDPPHH_01115	CDS	210				hypothetical protein
AOKDPPHH_01116	CDS	237				hypothetical protein
AOKDPPHH_01117	CDS	387				hypothetical protein
AOKDPPHH_01118	CDS	663				hypothetical protein
AOKDPPHH_01119	CDS	345				hypothetical protein
AOKDPPHH_01120	CDS	441				hypothetical protein
AOKDPPHH_01121	CDS	399	hemN_1	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
AOKDPPHH_01122	CDS	1014	hemN_2	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
AOKDPPHH_01123	tRNA	87				tRNA-Leu(taa)
AOKDPPHH_01124	CDS	342				hypothetical protein
AOKDPPHH_01125	CDS	732	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
AOKDPPHH_01126	CDS	768				hypothetical protein
AOKDPPHH_01127	CDS	858				hypothetical protein
AOKDPPHH_01128	CDS	462				hypothetical protein
AOKDPPHH_01129	CDS	1248				hypothetical protein
AOKDPPHH_01130	CDS	435				hypothetical protein
AOKDPPHH_01131	CDS	366				hypothetical protein
AOKDPPHH_01132	CDS	768				hypothetical protein
AOKDPPHH_01133	CDS	996				hypothetical protein
AOKDPPHH_01134	CDS	498				hypothetical protein
AOKDPPHH_01135	CDS	654				hypothetical protein
AOKDPPHH_01136	CDS	1305				hypothetical protein
AOKDPPHH_01137	CDS	627				hypothetical protein
AOKDPPHH_01138	CDS	1122				hypothetical protein
AOKDPPHH_01139	CDS	1497				hypothetical protein
AOKDPPHH_01140	CDS	579	speG	2.3.1.57		Spermidine N(1)-acetyltransferase
AOKDPPHH_01141	CDS	1890	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
AOKDPPHH_01142	CDS	234				hypothetical protein
AOKDPPHH_01143	CDS	1665	pyrG	6.3.4.2	COG0504	CTP synthase
AOKDPPHH_01144	CDS	219	kdsA_1	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
AOKDPPHH_01145	CDS	579	kdsA_2	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
AOKDPPHH_01146	CDS	348				hypothetical protein
AOKDPPHH_01147	CDS	1293	eno	4.2.1.11	COG0148	Enolase
AOKDPPHH_01148	CDS	354	ftsB			Cell division protein FtsB
AOKDPPHH_01149	CDS	699	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
AOKDPPHH_01150	CDS	498	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
AOKDPPHH_01151	CDS	1032	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
AOKDPPHH_01152	CDS	540	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
AOKDPPHH_01153	CDS	780	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
AOKDPPHH_01154	CDS	678	pcm_1	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
AOKDPPHH_01155	CDS	615				hypothetical protein
AOKDPPHH_01156	CDS	774				hypothetical protein
AOKDPPHH_01157	CDS	375				hypothetical protein
AOKDPPHH_01158	CDS	306			COG1534	RNA-binding protein
AOKDPPHH_01159	CDS	633	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
AOKDPPHH_01160	CDS	1938	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
AOKDPPHH_01161	CDS	186				hypothetical protein
AOKDPPHH_01162	CDS	321	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
AOKDPPHH_01163	CDS	612	folP_2	2.5.1.15	COG0294	Dihydropteroate synthase
AOKDPPHH_01164	CDS	954	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
AOKDPPHH_01165	CDS	276	hfq			RNA-binding protein Hfq
AOKDPPHH_01166	CDS	1311	hflX		COG2262	GTPase HflX
AOKDPPHH_01167	CDS	495	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
AOKDPPHH_01168	CDS	1686	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
AOKDPPHH_01169	CDS	420	lexA	3.4.21.88		LexA repressor
AOKDPPHH_01170	CDS	1101	recA			Protein RecA
AOKDPPHH_01171	CDS	495	recX		COG2137	Regulatory protein RecX
AOKDPPHH_01172	CDS	2649	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
AOKDPPHH_01173	CDS	204	csrA			Translational regulator CsrA
AOKDPPHH_01174	tRNA	93				tRNA-Ser(gct)
AOKDPPHH_01175	CDS	186				hypothetical protein
AOKDPPHH_01176	CDS	1767	plcN	3.1.4.3	COG3511	Non-hemolytic phospholipase C
AOKDPPHH_01177	CDS	2238	btuB_7			Vitamin B12 transporter BtuB
AOKDPPHH_01178	CDS	237				hypothetical protein
AOKDPPHH_01179	CDS	1170	ybjJ_2			Inner membrane protein YbjJ
AOKDPPHH_01180	CDS	696				hypothetical protein
AOKDPPHH_01181	CDS	702	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
AOKDPPHH_01182	CDS	771	yhaJ			HTH-type transcriptional regulator YhaJ
AOKDPPHH_01183	tRNA	77				tRNA-Arg(acg)
AOKDPPHH_01184	tRNA	77				tRNA-Arg(acg)
AOKDPPHH_01185	tRNA	77				tRNA-Arg(acg)
AOKDPPHH_01186	CDS	876				hypothetical protein
AOKDPPHH_01187	CDS	810	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
AOKDPPHH_01188	CDS	669				hypothetical protein
AOKDPPHH_01189	CDS	507				hypothetical protein
AOKDPPHH_01190	CDS	1401				hypothetical protein
AOKDPPHH_01191	CDS	480	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
AOKDPPHH_01192	CDS	561	gcvR		COG2716	Glycine cleavage system transcriptional repressor
AOKDPPHH_01193	CDS	1026	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
AOKDPPHH_01194	CDS	531				hypothetical protein
AOKDPPHH_01195	CDS	324	fdxA		COG1146	Ferredoxin 1
AOKDPPHH_01196	CDS	1422	xylE			D-xylose-proton symporter
AOKDPPHH_01197	tRNA	75				tRNA-Glu(ctc)
AOKDPPHH_01198	CDS	1428	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
AOKDPPHH_01199	CDS	486	folK_1	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
AOKDPPHH_01200	CDS	831	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
AOKDPPHH_01201	CDS	840	panC	6.3.2.1	COG0414	Pantothenate synthetase
AOKDPPHH_01202	CDS	489	panD	4.1.1.11		Aspartate 1-decarboxylase
AOKDPPHH_01203	CDS	1512	pgi	5.3.1.9		Glucose-6-phosphate isomerase
AOKDPPHH_01204	CDS	570	regA		COG4567	Photosynthetic apparatus regulatory protein RegA
AOKDPPHH_01205	CDS	1227	regB	2.7.13.3		Sensor histidine kinase RegB
AOKDPPHH_01206	CDS	1266	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
AOKDPPHH_01207	CDS	750				hypothetical protein
AOKDPPHH_01208	CDS	648	gacA_1			Response regulator GacA
AOKDPPHH_01209	CDS	660	eda_1	4.1.2.14	COG0800	2-dehydro-3-deoxy-phosphogluconate aldolase
AOKDPPHH_01210	CDS	1917	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
AOKDPPHH_01211	CDS	555				hypothetical protein
AOKDPPHH_01212	CDS	1008	glk_1	2.7.1.2	COG0837	Glucokinase
AOKDPPHH_01213	CDS	1038	zwf_1	1.1.1.363	COG0364	Glucose-6-phosphate 1-dehydrogenase
AOKDPPHH_01214	CDS	399	zwf_2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
AOKDPPHH_01215	CDS	1083	msiK	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
AOKDPPHH_01216	CDS	798	ygfZ			tRNA-modifying protein YgfZ
AOKDPPHH_01217	CDS	171				hypothetical protein
AOKDPPHH_01218	CDS	393	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
AOKDPPHH_01219	CDS	387				hypothetical protein
AOKDPPHH_01220	CDS	1791	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
AOKDPPHH_01221	CDS	786	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
AOKDPPHH_01222	CDS	249				hypothetical protein
AOKDPPHH_01223	CDS	450				hypothetical protein
AOKDPPHH_01224	CDS	1242	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
AOKDPPHH_01225	CDS	600	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
AOKDPPHH_01226	CDS	450				hypothetical protein
AOKDPPHH_01227	CDS	270	yggX		COG2924	putative Fe(2+)-trafficking protein
AOKDPPHH_01228	CDS	1095	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
AOKDPPHH_01229	CDS	1302	ftsY_1		COG0552	Signal recognition particle receptor FtsY
AOKDPPHH_01230	CDS	300				hypothetical protein
AOKDPPHH_01231	CDS	1050	htpG_2		COG0326	Chaperone protein HtpG
AOKDPPHH_01232	CDS	897	htpG_3			Chaperone protein HtpG
AOKDPPHH_01233	CDS	642				hypothetical protein
AOKDPPHH_01234	CDS	579	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
AOKDPPHH_01235	CDS	510	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
AOKDPPHH_01236	CDS	492				hypothetical protein
AOKDPPHH_01237	CDS	282	fdx		COG1145	Ferredoxin
AOKDPPHH_01238	CDS	1731	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
AOKDPPHH_01239	CDS	837	ytnP	3.1.1.-	COG0491	putative quorum-quenching lactonase YtnP
AOKDPPHH_01240	CDS	633	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
AOKDPPHH_01241	CDS	699				hypothetical protein
AOKDPPHH_01242	CDS	219				hypothetical protein
AOKDPPHH_01243	CDS	1086	btuB_8			Vitamin B12 transporter BtuB
AOKDPPHH_01244	CDS	1113				hypothetical protein
AOKDPPHH_01245	CDS	1365				hypothetical protein
AOKDPPHH_01246	CDS	621	ppa_1	3.6.1.1		Inorganic pyrophosphatase
AOKDPPHH_01247	CDS	954	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
AOKDPPHH_01248	CDS	696	yiaD		COG2885	putative lipoprotein YiaD
AOKDPPHH_01249	CDS	726		1.-.-.-		putative oxidoreductase
AOKDPPHH_01250	CDS	897	pgrR_5			HTH-type transcriptional regulator PgrR
AOKDPPHH_01251	CDS	1032	dmlR_5			HTH-type transcriptional regulator DmlR
AOKDPPHH_01252	CDS	228				hypothetical protein
AOKDPPHH_01253	CDS	771				hypothetical protein
AOKDPPHH_01254	CDS	1224	bepF			Efflux pump periplasmic linker BepF
AOKDPPHH_01255	CDS	3171	oqxB9			multidrug efflux RND transporter permease subunit OqxB9
AOKDPPHH_01256	CDS	738	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
AOKDPPHH_01257	CDS	1422	arpC		COG1538	Antibiotic efflux pump outer membrane protein ArpC
AOKDPPHH_01258	CDS	264				hypothetical protein
AOKDPPHH_01259	CDS	189				hypothetical protein
AOKDPPHH_01260	CDS	693				hypothetical protein
AOKDPPHH_01261	CDS	705	lasR		COG2771	Transcriptional activator protein LasR
AOKDPPHH_01262	CDS	909	hchA_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
AOKDPPHH_01263	CDS	99				hypothetical protein
AOKDPPHH_01264	CDS	1221				hypothetical protein
AOKDPPHH_01265	CDS	1230				hypothetical protein
AOKDPPHH_01266	CDS	774				hypothetical protein
AOKDPPHH_01267	CDS	102				hypothetical protein
AOKDPPHH_01268	CDS	1500	bprV_3	3.4.21.-	COG1404	Extracellular basic protease
AOKDPPHH_01269	CDS	237				hypothetical protein
AOKDPPHH_01270	CDS	615				hypothetical protein
AOKDPPHH_01271	tmRNA	354	ssrA			transfer-messenger RNA, SsrA
AOKDPPHH_01272	CDS	573				hypothetical protein
AOKDPPHH_01273	CDS	504	smpB		COG0691	SsrA-binding protein
AOKDPPHH_01274	CDS	426	pasT		COG2867	Persistence and stress-resistance toxin PasT
AOKDPPHH_01275	CDS	258				hypothetical protein
AOKDPPHH_01276	CDS	393	bamE			Outer membrane protein assembly factor BamE
AOKDPPHH_01277	CDS	408	fur		COG0735	Ferric uptake regulation protein
AOKDPPHH_01278	CDS	1254				hypothetical protein
AOKDPPHH_01279	CDS	918	dmlR_6			HTH-type transcriptional regulator DmlR
AOKDPPHH_01280	CDS	1662	recN		COG0497	DNA repair protein RecN
AOKDPPHH_01281	CDS	1065	hrcA		COG1420	Heat-inducible transcription repressor HrcA
AOKDPPHH_01282	CDS	537	grpE		COG0576	Protein GrpE
AOKDPPHH_01283	CDS	1923	dnaK_1		COG0443	Chaperone protein DnaK
AOKDPPHH_01284	CDS	1125	dnaJ		COG0484	Chaperone protein DnaJ
AOKDPPHH_01285	CDS	840	nimR_1			HTH-type transcriptional regulator NimR
AOKDPPHH_01286	CDS	1200	fsr			Fosmidomycin resistance protein
AOKDPPHH_01287	CDS	909	pdxK	2.7.1.35		Pyridoxine/pyridoxal/pyridoxamine kinase
AOKDPPHH_01288	CDS	375				hypothetical protein
AOKDPPHH_01289	CDS	738				hypothetical protein
AOKDPPHH_01290	CDS	195				hypothetical protein
AOKDPPHH_01291	CDS	1773	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
AOKDPPHH_01292	CDS	597	yigZ		COG1739	IMPACT family member YigZ
AOKDPPHH_01293	CDS	216				hypothetical protein
AOKDPPHH_01294	CDS	747				hypothetical protein
AOKDPPHH_01295	CDS	624				hypothetical protein
AOKDPPHH_01296	CDS	570				hypothetical protein
AOKDPPHH_01297	CDS	2187				hypothetical protein
AOKDPPHH_01298	CDS	594		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
AOKDPPHH_01299	CDS	1164	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
AOKDPPHH_01300	CDS	450				hypothetical protein
AOKDPPHH_01301	CDS	609	queA_1	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
AOKDPPHH_01302	CDS	513	queA_2	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
AOKDPPHH_01303	CDS	1131	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
AOKDPPHH_01304	CDS	345	yajC		COG1862	Sec translocon accessory complex subunit YajC
AOKDPPHH_01305	CDS	1857	secD		COG0342	Protein translocase subunit SecD
AOKDPPHH_01306	CDS	981	secF		COG0341	Protein translocase subunit SecF
AOKDPPHH_01307	CDS	1260	fabV	1.3.1.9	COG3007	Enoyl-[acyl-carrier-protein] reductase [NADH]
AOKDPPHH_01308	CDS	2070				hypothetical protein
AOKDPPHH_01309	CDS	1185			COG2081	putative protein
AOKDPPHH_01310	CDS	549	yaeQ		COG4681	putative protein YaeQ
AOKDPPHH_01311	CDS	882				hypothetical protein
AOKDPPHH_01312	CDS	492				hypothetical protein
AOKDPPHH_01313	CDS	210	cspA_1		COG1278	Major cold shock protein CspA
AOKDPPHH_01314	CDS	690				hypothetical protein
AOKDPPHH_01315	CDS	1566	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
AOKDPPHH_01316	CDS	537	apt	2.4.2.7		Adenine phosphoribosyltransferase
AOKDPPHH_01317	CDS	981	dbpA_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
AOKDPPHH_01318	CDS	426	dbpA_2	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
AOKDPPHH_01319	CDS	1080				hypothetical protein
AOKDPPHH_01320	CDS	177				hypothetical protein
AOKDPPHH_01321	CDS	192				hypothetical protein
AOKDPPHH_01322	CDS	393	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
AOKDPPHH_01323	CDS	1413	uup_1		COG0488	ABC transporter ATP-binding protein uup
AOKDPPHH_01324	CDS	507	uup_2		COG0488	ABC transporter ATP-binding protein uup
AOKDPPHH_01325	CDS	462				hypothetical protein
AOKDPPHH_01326	CDS	393				hypothetical protein
AOKDPPHH_01327	CDS	975	mdtA_1			Multidrug resistance protein MdtA
AOKDPPHH_01328	CDS	3522	mdtB_1			Multidrug resistance protein MdtB
AOKDPPHH_01329	CDS	3078	mdtC_1			Multidrug resistance protein MdtC
AOKDPPHH_01330	CDS	1221				hypothetical protein
AOKDPPHH_01331	CDS	531	pat_1	2.3.1.183	COG1247	Phosphinothricin N-acetyltransferase
AOKDPPHH_01332	CDS	888		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
AOKDPPHH_01333	CDS	1038	aguA	3.5.3.12	COG2957	Agmatine deiminase
AOKDPPHH_01334	CDS	330				hypothetical protein
AOKDPPHH_01335	CDS	126	ykgO		COG0257	50S ribosomal protein L36 2
AOKDPPHH_01336	CDS	678	cmk	2.7.4.25		Cytidylate kinase
AOKDPPHH_01337	CDS	1302	rpsA_1		COG0539	30S ribosomal protein S1
AOKDPPHH_01338	CDS	381	rpsA_2		COG0539	30S ribosomal protein S1
AOKDPPHH_01339	CDS	306	ihfB		COG0776	Integration host factor subunit beta
AOKDPPHH_01340	CDS	360				hypothetical protein
AOKDPPHH_01341	CDS	1140	lapB		COG2956	Lipopolysaccharide assembly protein B
AOKDPPHH_01342	CDS	990	wecA	2.7.8.35	COG0472	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
AOKDPPHH_01343	CDS	972				hypothetical protein
AOKDPPHH_01344	CDS	942	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
AOKDPPHH_01345	CDS	879	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
AOKDPPHH_01346	CDS	1209	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
AOKDPPHH_01347	CDS	2373	fadN	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
AOKDPPHH_01348	CDS	657				hypothetical protein
AOKDPPHH_01349	CDS	426	ndk	2.7.4.6		Nucleoside diphosphate kinase
AOKDPPHH_01350	CDS	1206	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
AOKDPPHH_01351	CDS	786	bepA_4	3.4.-.-		Beta-barrel assembly-enhancing protease
AOKDPPHH_01352	CDS	870	rodZ			Cytoskeleton protein RodZ
AOKDPPHH_01353	CDS	639				hypothetical protein
AOKDPPHH_01354	CDS	1209	bamB		COG1520	Outer membrane protein assembly factor BamB
AOKDPPHH_01355	CDS	1398	der		COG1160	GTPase Der
AOKDPPHH_01356	CDS	1080	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
AOKDPPHH_01357	CDS	1950	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
AOKDPPHH_01358	CDS	876	folD		COG0190	Bifunctional protein FolD protein
AOKDPPHH_01359	CDS	1458	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
AOKDPPHH_01360	CDS	1566	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
AOKDPPHH_01361	CDS	2769				hypothetical protein
AOKDPPHH_01362	CDS	1020				hypothetical protein
AOKDPPHH_01363	CDS	1077				hypothetical protein
AOKDPPHH_01364	CDS	1785				hypothetical protein
AOKDPPHH_01365	CDS	1272				hypothetical protein
AOKDPPHH_01366	CDS	1488				hypothetical protein
AOKDPPHH_01367	CDS	471				hypothetical protein
AOKDPPHH_01368	CDS	435				hypothetical protein
AOKDPPHH_01369	CDS	2823	rapA	3.6.4.-		RNA polymerase-associated protein RapA
AOKDPPHH_01370	CDS	450				hypothetical protein
AOKDPPHH_01371	CDS	924	pgrR_6			HTH-type transcriptional regulator PgrR
AOKDPPHH_01372	CDS	111				hypothetical protein
AOKDPPHH_01373	CDS	768	hchA_2	3.1.2.-		Protein/nucleic acid deglycase HchA
AOKDPPHH_01374	CDS	678				hypothetical protein
AOKDPPHH_01375	CDS	1884				hypothetical protein
AOKDPPHH_01376	CDS	375				hypothetical protein
AOKDPPHH_01377	CDS	1380				hypothetical protein
AOKDPPHH_01378	CDS	783	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
AOKDPPHH_01379	CDS	372				hypothetical protein
AOKDPPHH_01380	CDS	738				hypothetical protein
AOKDPPHH_01381	CDS	735				hypothetical protein
AOKDPPHH_01382	CDS	459				hypothetical protein
AOKDPPHH_01383	CDS	315	sdpR		COG0640	Transcriptional repressor SdpR
AOKDPPHH_01384	CDS	837	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AOKDPPHH_01385	CDS	954				hypothetical protein
AOKDPPHH_01386	CDS	585				hypothetical protein
AOKDPPHH_01387	CDS	486				hypothetical protein
AOKDPPHH_01388	CDS	1245				hypothetical protein
AOKDPPHH_01389	CDS	1002	cdhR		COG4977	HTH-type transcriptional regulator CdhR
AOKDPPHH_01390	CDS	2577	btuB_9			Vitamin B12 transporter BtuB
AOKDPPHH_01391	CDS	582	sfnF	1.5.1.42	COG0431	NADH-dependent FMN reductase SfnF
AOKDPPHH_01392	CDS	363				hypothetical protein
AOKDPPHH_01393	CDS	996				hypothetical protein
AOKDPPHH_01394	CDS	2562		3.5.1.47		N-acetyldiaminopimelate deacetylase
AOKDPPHH_01395	CDS	561				hypothetical protein
AOKDPPHH_01396	CDS	1731	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AOKDPPHH_01397	CDS	975				hypothetical protein
AOKDPPHH_01398	CDS	2643				hypothetical protein
AOKDPPHH_01399	CDS	1080			COG2220	putative protein
AOKDPPHH_01400	CDS	612				hypothetical protein
AOKDPPHH_01401	CDS	1029	srkA_1	2.7.11.1		Stress response kinase A
AOKDPPHH_01402	CDS	924	ribN			Riboflavin transporter
AOKDPPHH_01403	CDS	1062	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
AOKDPPHH_01404	CDS	1056	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
AOKDPPHH_01405	CDS	768		2.1.1.-	COG0500	putative methyltransferase
AOKDPPHH_01406	CDS	285				hypothetical protein
AOKDPPHH_01407	CDS	282				hypothetical protein
AOKDPPHH_01408	CDS	1533	gucD	1.2.1.26	COG1012	Alpha-ketoglutaric semialdehyde dehydrogenase
AOKDPPHH_01409	CDS	768	gumD_1	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
AOKDPPHH_01410	CDS	519	gumD_2	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
AOKDPPHH_01411	CDS	201	gumD_3	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
AOKDPPHH_01412	CDS	258	etp	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Etp
AOKDPPHH_01413	CDS	2190				hypothetical protein
AOKDPPHH_01414	CDS	405				hypothetical protein
AOKDPPHH_01415	CDS	690	gfcB			putative lipoprotein GfcB
AOKDPPHH_01416	CDS	1107				hypothetical protein
AOKDPPHH_01417	CDS	333				hypothetical protein
AOKDPPHH_01418	CDS	603				hypothetical protein
AOKDPPHH_01419	tRNA	77				tRNA-Arg(cct)
AOKDPPHH_01420	CDS	315				hypothetical protein
AOKDPPHH_01421	CDS	687				hypothetical protein
AOKDPPHH_01422	CDS	1083				Blue-light-activated protein
AOKDPPHH_01423	CDS	3102	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
AOKDPPHH_01424	CDS	654				hypothetical protein
AOKDPPHH_01425	CDS	576	cheB1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase 1
AOKDPPHH_01426	CDS	1128	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
AOKDPPHH_01427	CDS	429				hypothetical protein
